Own_car,Own_property,Mobile_phone,Num_children,Household_size,Total_income,Age,Income_type,Education_type,Family_status,Occupation_type,Housing_type,Account_age,Employed,Years_employed,Target
1,1,1,2,4,27500.000000000004,35,Salaried,Higher education,Married,Engineer,House / apartment,36,1,1,1
0,0,1,0,1,11000.0,50,Pensioner,Secondary,Widow,Retired,Rented apartment,12,0,0,0
1,1,0,1,3,41250.0,40,Self-employed,Higher education,Married,Business Owner,House / apartment,48,1,3,1
0,1,0,1,2,16500.0,28,Salaried,Secondary,Single,Teacher,With parents,24,1,1,1
1,0,1,0,1,24750.000000000004,32,Self-employed,Higher education,Divorced,Entrepreneur,Rented apartment,60,1,2,1
0,1,1,3,5,19250.0,45,Salaried,Incomplete higher,Married,Office Worker,House / apartment,30,1,3,1
1,0,0,0,1,13750.000000000002,55,Pensioner,Lower secondary,Widow,Retired,House / apartment,120,0,0,0
0,1,1,2,3,33000.0,37,Salaried,Higher education,Married,Manager,House / apartment,36,1,4,1
1,1,1,0,1,44000.0,29,Self-employed,Higher education,Single,Entrepreneur,House / apartment,48,1,2,1
0,1,1,4,6,22000.0,38,Salaried,Secondary,Married,Salesperson,With parents,60,1,4,1
1,0,0,1,2,30250.000000000004,26,Self-employed,Higher education,Married,Designer,Rented apartment,12,1,1,1
0,0,0,0,1,16500.0,60,Pensioner,Lower secondary,Widow,Retired,House / apartment,180,0,0,0
1,1,1,2,4,38500.0,45,Salaried,Higher education,Married,Manager,House / apartment,72,1,5,1
0,1,1,3,5,35750.0,50,Salaried,Incomplete higher,Divorced,Teacher,House / apartment,96,1,5,1
1,0,1,0,1,46750.00000000001,33,Self-employed,Higher education,Single,Consultant,Rented apartment,36,1,3,1
0,1,0,1,3,17600.0,55,Pensioner,Secondary,Widow,Retired,House / apartment,150,0,0,0
1,1,1,2,4,49500.00000000001,41,Salaried,Higher education,Married,Doctor,House / apartment,60,1,4,1
0,0,1,0,1,12650.000000000002,24,Student,Incomplete higher,Single,Student,With parents,6,0,0,0
1,0,0,1,3,26400.000000000004,35,Self-employed,Secondary,Divorced,Cooking Staff,Rented apartment,24,1,1,1
0,1,1,3,5,30250.000000000004,50,Salaried,Higher education,Widow,Engineer,House / apartment,120,1,5,1
1,0,1,0,2,38500.0,30,Salaried,Higher education,Married,Lawyer,Rented apartment,36,1,2,1
0,1,0,2,4,17600.0,40,Self-employed,Secondary,Married,Carpenter,House / apartment,48,1,4,1
1,0,1,1,2,14300.000000000002,29,Student,Higher education,Single,Student,With parents,12,0,0,0
0,1,1,0,1,24750.000000000004,55,Pensioner,Lower secondary,Divorced,Retired,House / apartment,180,0,0,0
1,1,1,1,3,44000.0,46,Salaried,Higher education,Married,Architect,House / apartment,72,1,4,1
0,0,0,2,5,20350.0,33,Self-employed,Secondary,Single,Plumber,With parents,24,1,2,1
1,1,1,0,1,35750.0,28,Self-employed,Higher education,Single,Designer,Rented apartment,36,1,1,1
0,0,0,1,2,15950.000000000002,53,Pensioner,Incomplete higher,Widow,Retired,House / apartment,144,0,0,0
1,1,0,3,6,31900.000000000004,39,Salaried,Secondary,Divorced,Teacher,House / apartment,60,1,3,1
0,1,1,0,1,22000.0,31,Salaried,Higher education,Single,Nurse,Rented apartment,48,1,2,1
1,0,1,2,4,28050.000000000004,42,Self-employed,Higher education,Married,Business Owner,House / apartment,60,1,4,1
0,1,0,1,3,18700.0,47,Salaried,Secondary,Married,Factory Worker,With parents,72,1,3,0
0,0,1,0,1,46750.00000000001,25,Self-employed,Higher education,Single,Entrepreneur,Rented apartment,12,1,0,1
1,1,0,3,5,16500.0,55,Salaried,Secondary,Married,Teacher,House / apartment,240,1,5,1
0,0,1,1,2,24750.000000000004,40,Salaried,Higher education,Divorced,Nurse,With parents,36,1,3,1
1,0,1,0,1,11000.0,50,Pensioner,Lower secondary,Widow,Retired,Rented apartment,60,0,0,0
0,1,0,2,4,19250.0,30,Salaried,Higher education,Married,Office Worker,House / apartment,24,1,1,1
1,0,1,1,3,33000.0,33,Self-employed,Secondary,Single,Entrepreneur,Rented apartment,48,1,2,0
0,0,0,0,1,41250.0,28,Salaried,Higher education,Single,Manager,With parents,12,1,1,1
1,1,1,3,6,22000.0,45,Salaried,Incomplete higher,Married,Salesperson,House / apartment,96,1,4,1
1,0,1,0,1,16500.0,65,Pensioner,Higher education,Widow,Retired,House / apartment,420,0,5,1
0,1,0,1,2,12100.000000000002,26,Salaried,Secondary,Single,Office Worker,With parents,24,1,0,0
1,0,1,2,4,9900.0,35,Salaried,Lower secondary,Married,Factory Worker,House / apartment,60,1,3,1
0,0,1,0,1,27500.000000000004,55,Self-employed,Higher education,Divorced,Consultant,Rented apartment,180,1,5,1
1,1,0,3,5,13750.000000000002,40,Salaried,Incomplete higher,Married,Cooking Staff,House / apartment,120,1,4,0
0,1,1,1,2,19250.0,28,Self-employed,Secondary,Single,Designer,Rented apartment,36,1,1,1
1,0,0,0,1,24750.000000000004,30,Salaried,Higher education,Married,Engineer,With parents,48,1,2,1
0,1,1,2,3,14850.000000000002,48,Salaried,Secondary,Divorced,Salesperson,House / apartment,240,1,5,0
1,0,1,2,4,22000.0,45,Self-employed,Secondary,Married,Artist,House / apartment,120,1,4,1
0,1,0,0,1,30250.000000000004,50,Salaried,Higher education,Widow,Scientist,Rented apartment,300,0,5,1
1,0,1,1,2,14300.000000000002,27,Salaried,Incomplete higher,Single,Accountant,With parents,36,1,1,0
0,0,0,3,6,12100.000000000002,38,Salaried,Lower secondary,Divorced,Bus Driver,House / apartment,72,1,3,1
1,1,0,0,1,17600.0,55,Pensioner,Higher education,Married,Retired,House / apartment,420,0,5,0
0,1,1,2,3,15950.000000000002,33,Self-employed,Secondary,Married,Business Owner,Rented apartment,60,1,2,1
1,0,1,1,2,37400.0,29,Salaried,Higher education,Single,Software Developer,With parents,48,1,2,1
0,0,0,0,1,19800.0,42,Self-employed,Incomplete higher,Divorced,Entrepreneur,House / apartment,96,1,4,0
